Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	response to insulin (GO:0032868)	7/84	3.000782e-14	1.383360e-11	0	0	3.016667e+02	9.393091e+03	IRS1;INSR;LEP;ADIPOQ;IRS2;PPARG;SLC2A4
GO_Biological_Process_2021	carbohydrate homeostasis (GO:0033500)	6/70	2.483997e-12	5.725612e-10	0	0	2.668259e+02	7.129895e+03	CEBPA;IRS1;INSR;ADIPOQ;PPARG;SLC2A4
GO_Biological_Process_2021	glucose homeostasis (GO:0042593)	6/86	8.864598e-12	1.362193e-09	0	0	2.132893e+02	5.427990e+03	CEBPA;IRS1;INSR;ADIPOQ;PPARG;SLC2A4
GO_Biological_Process_2021	regulation of glucose import (GO:0046324)	5/37	2.081846e-11	2.399328e-09	0	0	3.897461e+02	9.585876e+03	IRS1;INSR;LEP;ADIPOQ;IRS2
GO_Biological_Process_2021	cellular response to peptide hormone stimulus (GO:0071375)	6/106	3.197202e-11	2.947820e-09	0	0	1.704600e+02	4.119364e+03	IRS1;INSR;ADIPOQ;IRS2;PPARG;SLC2A4
GO_Biological_Process_2021	cellular response to insulin stimulus (GO:0032869)	6/129	1.058741e-10	8.134658e-09	0	0	1.384251e+02	3.179454e+03	IRS1;INSR;ADIPOQ;IRS2;PPARG;SLC2A4
GO_Biological_Process_2021	positive regulation of small molecule metabolic process (GO:0062013)	4/16	1.943651e-10	1.280033e-08	0	0	7.398148e+02	1.654321e+04	IRS1;ADIPOQ;IRS2;PPARG
GO_Biological_Process_2021	positive regulation of glucose import (GO:0046326)	4/26	1.590896e-09	9.167538e-08	0	0	4.033333e+02	8.171117e+03	IRS1;INSR;ADIPOQ;IRS2
GO_Biological_Process_2021	positive regulation of glucose transmembrane transport (GO:0010828)	4/32	3.818461e-09	1.955901e-07	0	0	3.168095e+02	6.140852e+03	IRS1;INSR;ADIPOQ;IRS2
GO_Biological_Process_2021	positive regulation of glycogen biosynthetic process (GO:0045725)	3/14	7.775817e-08	3.584652e-06	0	0	5.448000e+02	8.918192e+03	IRS1;INSR;IRS2
GO_Biological_Process_2021	positive regulation of glycogen metabolic process (GO:0070875)	3/15	9.716159e-08	4.071954e-06	0	0	4.993750e+02	8.063353e+03	IRS1;INSR;IRS2
GO_Biological_Process_2021	positive regulation of cellular metabolic process (GO:0031325)	4/105	4.944409e-07	1.899477e-05	0	0	8.750715e+01	1.270590e+03	INSR;FASN;ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of glycogen biosynthetic process (GO:0005979)	3/26	5.529362e-07	1.960797e-05	0	0	2.604000e+02	3.751849e+03	IRS1;INSR;IRS2
GO_Biological_Process_2021	positive regulation of metabolic process (GO:0009893)	4/113	6.640694e-07	2.186686e-05	0	0	8.105199e+01	1.152955e+03	INSR;FASN;LEP;ADIPOQ
GO_Biological_Process_2021	regulation of glucose metabolic process (GO:0010906)	3/34	1.268803e-06	3.899454e-05	0	0	1.931226e+02	2.622110e+03	IRS1;ADIPOQ;IRS2
GO_Biological_Process_2021	positive regulation of protein kinase B signaling (GO:0051897)	4/161	2.733225e-06	7.875104e-05	0	0	5.613588e+01	7.191022e+02	IRS1;INSR;LEP;IRS2
GO_Biological_Process_2021	fat cell differentiation (GO:0045444)	3/58	6.483930e-06	1.758289e-04	0	0	1.087200e+02	1.298789e+03	CEBPA;ADIPOQ;PPARG
GO_Biological_Process_2021	regulation of protein kinase B signaling (GO:0051896)	4/207	7.407521e-06	1.897148e-04	0	0	4.331472e+01	5.116775e+02	IRS1;INSR;LEP;IRS2
GO_Biological_Process_2021	lipid homeostasis (GO:0055088)	3/64	8.735399e-06	2.110146e-04	0	0	9.799672e+01	1.141478e+03	CEBPA;IRS2;PPARG
GO_Biological_Process_2021	chemical homeostasis (GO:0048878)	3/65	9.154647e-06	2.110146e-04	0	0	9.641129e+01	1.118491e+03	CEBPA;IRS2;PPARG
GO_Biological_Process_2021	insulin receptor signaling pathway (GO:0008286)	3/73	1.299626e-05	2.852989e-04	0	0	8.535857e+01	9.603564e+02	IRS1;INSR;IRS2
GO_Biological_Process_2021	positive regulation of fatty acid beta-oxidation (GO:0032000)	2/9	1.400387e-05	2.934446e-04	0	0	5.189610e+02	5.800001e+03	IRS1;IRS2
